cfg,W,tpd,ntp,lev,stop,sltp,maxdist,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,port_growth,port_DD,port_posMo
83,2800,0.29,12,1.0,0.008,2,0.0075,0.14477639713919266,1.2726832187281203,1.9971138079356252,3.449416318009823,0.4536030115871832,0.21430425869559233,0.4141592444481468,0.07210979076772928,0.049686906904694794,97.46227415720827,20.773138857686558,61.05263157894737
84,2800,0.29,13,1.0,0.019,3,0.0075,0.25163966223861234,1.239254036041439,1.8743040027896058,4.223951582018734,0.38004409280910156,0.1769209328068151,0.4074853924942148,0.009962527006222688,0.03296121342642433,100.36630734260049,22.703792898750596,62.10526315789474
85,2000,0.3,9,1.0,0.004,4,0.005,0.36653955224895496,0.8548365029728737,1.17188682693748,3.7678911560039934,0.8584965048467608,-0.03849122598866361,0.8478567041890361,-0.0008647174894990117,0.08234206318481396,93.72673460025972,21.34575908584123,66.3157894736842
86,2100,0.3,14,1.0,0.014,2,0.015,0.6042587031936275,0.9082765338511825,1.4046726845244746,2.6794409745338,0.8784991816783265,0.31319509873958085,0.5307243220334845,-0.006984507847160981,0.01959652284717306,103.55596982345702,21.52737231451144,63.1578947368421
87,2100,0.29,15,1.0,0.017,4,0.015,0.6111073269509089,0.9324301504501653,1.3776033456684158,2.7260473350049548,0.8705062770408905,0.31157919455668304,0.5423524811550855,-0.019875865547304028,0.014219182636160621,103.7447856254999,21.89616822676326,63.1578947368421
88,1700,0.26,15,1.0,0.005,1,0.015,0.32441924196960525,0.9612892403979936,1.7897876459610607,1.8051037761062152,0.8544728361088176,-0.03755527542198245,1.0856405104532585,0.19363878003351864,0.041088572087364605,94.03370175693183,21.60175895453438,62.10526315789474
89,2800,0.28,14,1.0,0.018,2,0.0075,0.23888504418851486,1.2405897541087034,1.8736753213784958,4.245003091062214,0.3673567590520459,0.17925077368976772,0.4088174632693975,0.02044378263327129,0.03319048550646797,100.20491472474482,22.606652528926407,62.10526315789474
90,2100,0.3,15,1.0,0.015,3,0.015,0.6223248540217419,0.9039811525051382,1.3998937347807692,2.676796512177804,0.8708120082041151,0.31036297938382673,0.5529872216084768,-0.012169805409519507,0.015932623919629796,104.13552795698396,21.80479804188149,63.1578947368421
91,2100,0.3,14,1.0,0.014,4,0.015,0.6111568908733993,0.9105819736107825,1.405490706675439,2.6446195871479334,0.8697520845937612,0.31821540807499304,0.5338216587992055,-0.005706940324758714,0.019596522847172837,103.43021481811856,21.527372314511474,63.1578947368421
92,1700,0.25,15,1.0,0.005,1,0.0,0.30097150665006955,0.9317243525689429,1.7780133704068413,1.761648398128223,0.8357770016810684,0.06314994567519738,1.0449698463514752,0.1735393832435559,0.04039594130306323,93.95357920420514,18.490843346084763,62.10526315789474
93,2100,0.3,15,1.0,0.02,2,0.015,0.5865175162608138,0.8992741123557348,1.5591941340549171,2.807106264216403,0.8047320900871227,0.3063710332822427,0.5062918107297525,-0.02442576640210703,0.017116667635447724,103.45470366054045,21.713663516514647,63.1578947368421
94,2100,0.29,15,1.0,0.017,3,0.015,0.6111073269509089,0.9324301504501653,1.3783968610980706,2.7322633627175255,0.870506277040892,0.30654668295239507,0.5423524811550862,-0.019875865547303917,0.014219182636160177,103.55367690409881,21.89616822676328,63.1578947368421
95,2100,0.3,15,1.0,0.02,4,0.015,0.5968872886556347,0.9090796606170757,1.5489416931661943,2.771090325500698,0.7934082090703733,0.31141660843029184,0.5093306134627835,-0.023176808267264537,0.017116667635447724,103.3513365800923,21.713663516514647,63.1578947368421
96,2700,0.29,14,1.0,0.018,2,0.0075,0.2135757352479668,1.1841974253936023,1.7912844742001974,4.025025807470692,0.5098556344510508,0.18539518899138696,0.3235577635150009,0.005573650141320607,0.053617839490536445,93.31246363427253,18.20741700976668,62.10526315789474
97,2700,0.29,15,1.0,0.019,3,0.0075,0.21079100826358554,1.188891870148261,1.7704007099182153,4.071073536635753,0.5085006929982847,0.18234365662883412,0.34721945840225543,-0.009465148673419743,0.052817865873572956,93.30106191844054,18.354057937727795,61.05263157894737
98,2800,0.26,15,1.0,0.018,2,0.0075,0.24479369335272927,1.2496127608020324,1.8456515707996801,4.2650084031224305,0.3680829721092811,0.1876528019012207,0.4044381395589247,0.01031664662161269,0.032171366327379936,99.83890369396764,22.70523231302327,62.10526315789474
99,2700,0.29,15,1.0,0.018,4,0.0075,0.21273053583458212,1.1873742163371737,1.7690542593873446,4.02175485267447,0.5120825351320641,0.1832068614458051,0.3516979847793491,-0.007837137325142796,0.05357482581433892,93.24779486787111,18.256153481766844,61.05263157894737
